review_text,rating,date
"03/07/2026 LYFT NEEDS TO DO BETTER or do away with the ride share in all Yelp reviews for Lyft are overwhelmingly negative, with an average rating of 1.9 out of 5 stars based on over 7,000 reviews. Customers frequently cite poor customer service, difficulty resolving billing disputes, overcharging, and, in some cases, the inability to cancel rides as major issues.  ￼Yelp +2",1,2026-03-08 22:52:44
good for cheap rides but sucks at finding rides. or they would take an hour just to find a ride that's supposed to take 5 minutes to take me to work.,5,2026-03-08 22:33:14
"Overcharge I have been using ride shares for years and never had a sketchy overcharge like this ride. The details are on 3/3/26, I was picked up at Dallas Love airport & dropped off in Waxahachie. It was supposed to be $48 for 35 mile ride and just under 1 hour. Lyft charged me for 68 miles & 1 hour & 51 minute ride. I complained about the fare being twice as much for an extra ride I did not take. They will not make it right saying oh well the navigation sticks sometimes.",1,2026-03-08 22:15:24
"Beware, Lyft is having their driver's cancel their riders through you. They'll take another ride, ask you to cancel so you pay the fee, or leave your account on hold while you wait for it to be canceled. It's a common scam, but Lyft would rather not lose more drivers, and not pay their drivers more to solely use you. Expect 1:3 of your rides to now not make it.",1,2026-03-08 21:55:50
"Upcharging for time of day only to make you wait too long and make you late for work while letting you thinknyou are getting a better deal bybtelling you that you're upgraded. So yeah, you get 1 star. I wish I could give you less.",1,2026-03-08 19:17:45
Bad experience they make sure that you don't know when to place your order the driver can be so late and other times like 2 minutes after you order and if you cancel even before you have a driver you have to pay for nothing,1,2026-03-08 17:28:06
I find Lyft to be twice as expensive as Uber.,2,2026-03-08 16:43:10
Just cancels your ride request for no response and I lost my job cause of it.,1,2026-03-08 13:39:18
"Very bad customer service, I lost my phone and no one helping my to get it back!!! very bad app!!! red flag ❌️",1,2026-03-08 12:48:07
I think you guys are outrageously way too high considering how everything is like double these days it's literally I feel like you guys are getting what is highway robbery .and thani am freaking out because it's only like 10 MI I got to go when you are asking for $109 that is ridiculous dude I cannot believe that,3,2026-03-08 11:55:52
It's was good and they waited patiently for my husband get to and from the car,5,2026-03-08 11:12:56
"my friend was sick outside of the vehicle. and then passed out in the road. my driver showed no remorse or concen. then charged me 80 dollars for damage after chasing me down with a dry lysol wipe to clean it. I tried. it didn't work, so I put my friends safety above the while thing and took her inside. I'll never use lyft after being disrespected like that.",1,2026-03-08 08:52:09
very nice and respectful drivers with no chip or marshmallow on their shoulder. just straight forward and on time or better.,5,2026-03-08 08:11:32
I'm getting charged for a ride I never received,1,2026-03-08 07:05:12
Very good service,5,2026-03-08 06:11:43
lyft sucks. I go 3 miles and they ask 45 bucks.,1,2026-03-08 06:07:30
For 2.1 mi I would have to pay $31.99...no surge....plenty of drivers....You're stealing money. Uber is no different but at least it's half this.,1,2026-03-08 04:53:03
I've ended up with bikes with mechanical issues twice in the past two weeks and there's no way to contact support for a refund. Uninstalled and will never use this service again. Update: I forgot I swore I wouldn't use it again and used Bay Wheels which is owned by Lyft. I paid for a day pass for $15 which did nothing because I was also charged $13 for the bike ride. Scammers.,1,2026-03-08 03:42:08
"I've had trouble with the Lyft app on February 28, 2026. I had set the address in the app and everything was fine until the driver went past my destination. She told me that her GPS showed a mile away address. Today, I requested a ride to work and my driver could not find my location. He saw my address on his GPS but it was at a different house which is why he called me to double check. It isn't anything wrong with my device it is Lyft's app. Please look into this as I am moving forward. Thanks",3,2026-03-08 03:29:45
"Started out great, but soured once you start depending on it. Had a horrible experience and support staff said that it breaks their heart, but that is just how it is. I regret using the app and trusting their service.",1,2026-03-08 02:23:28
"Works fine, but no wear os app, and the recent notifications, dynamically changing, stops my watch from getting proper notification updates.",4,2026-03-08 02:21:04
good app,5,2026-03-08 02:18:18
I absolutely refuse to use any other transaction apps! I have been using lift for over a year and there's not one time I can think of having any issues or complaints,5,2026-03-08 01:25:12
I waited for 10 mins then the driver just when almost getting to me just turned around. and I was in the heart of downtown so no excuse. what makes this all worse is there was no way for me to report this issue. So I'm done with this app,1,2026-03-07 23:43:59
"I am extremely dissatisfied with the support I’ve received. My account was charged incorrectly, and despite spending over two hours on live chat and being transferred between five different agents, my issue remains unresolved. I am requesting an immediate refund and a clear explanation for these charges.",1,2026-03-07 22:13:30
garbage,1,2026-03-07 22:10:27
Why is there no quiet ride option for customer to tell driver they don't have to make small talk?,1,2026-03-07 22:06:13
I can't get help. I need you to text or call me now damn it.,1,2026-03-07 20:08:19
used to work fine but with new phone it will not allow successful login to app,2,2026-03-07 20:00:44
Worst app ever!,1,2026-03-07 18:44:34
way too expensive. a 30 min drive is close to $60,1,2026-03-07 14:09:50
cheaper then Uber and are polite and curtious...,5,2026-03-07 14:09:27
"I have just recently earned my""Marathon Badge"" meaning I have logged 100+ miles with Lyft thats alot of rides considering each trip is 2-3 miles, almost everytime I meet someone new..Im so thankful for this service my vehicle caught fire last year burned all the electrical underneath, you have made it possible to commute back and forth to work most times that I ride the cost has been affordable I use the wait and save for the most part, I would recommend Lyft to anyone needing a ride..thanks",5,2026-03-07 13:37:10
"If I could give zero stars I would. The fares always wind up being more expensive than originally implied. I mean it's raining tonight and the app said the car would be here two minutes ago and now it's saying it won't be here for another five or six minutes. In the spirit of Borat: You guys are NOT awesome.edit; $18 for a mile ride, and it's going to take 20 mins for the car to arrive to pick me up... cool. gotta keep the corporate account stacked right? cuz I know it ain't going to the driver",1,2026-03-07 12:48:01
promotion of 50% first two rides when you download the app are FAKE. Lyft would not accept it nor do you have the option too. interesting that Google would even allow it to happen. for shame Lyft and for shame Google. both of you suck,1,2026-03-07 12:18:18
the worse experience,1,2026-03-07 11:26:03
I have to keep telling my drivers where to turn or if they are going on the wrong exit. I look over to the driver's phone. The GPS the drivers have to use dont even have a line to follow. if they cant read English they get lost easily. it is really annoying and shouldn't even be a problem in the first place. Especially since on the passenger app there is a line that shows the direction from the GPS. So why only show it for the passenger 🤔. Please fix or let drivers use Google or apple map.,1,2026-03-07 11:19:15
"drivers are ok. however there's a severe lack of customer service and double standards with drivers and late fees. Drivers can make you wait as long as theyd like. but if youre late theres a fee BUT if they cant find you, even though the address is right, youre paying the fee for ""wasting the drivers time"" if there was any other alternative in my area other than uber, (which i do use sometimes) i wouldnt use lyft.",2,2026-03-07 10:45:07
awesome thanks,5,2026-03-07 09:21:42
The drivers who take me to my destination are the ultimate and amazing people.,5,2026-03-07 07:19:17
